[2026-02-10T20:46:51.607+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-10T20:46:51.642+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-02-10T20:45:00+00:00 [queued]>
[2026-02-10T20:46:51.650+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-02-10T20:45:00+00:00 [queued]>
[2026-02-10T20:46:51.651+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-10T20:46:51.664+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-10 20:45:00+00:00
[2026-02-10T20:46:51.673+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_banking', 'download_minio', 'scheduled__2026-02-10T20:45:00+00:00', '--job-id', '35', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmpvfl4jnks']
[2026-02-10T20:46:51.677+0000] {standard_task_runner.py:91} INFO - Job 35: Subtask download_minio
[2026-02-10T20:46:51.678+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=36022) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-10T20:46:51.679+0000] {standard_task_runner.py:64} INFO - Started process 36042 to run task
[2026-02-10T20:46:51.760+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-02-10T20:45:00+00:00 [running]> on host f0a140ed2a8b
[2026-02-10T20:46:51.871+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_banking' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-10T20:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-10T20:45:00+00:00'
[2026-02-10T20:46:51.873+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-10T20:46:53.109+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143600462546.parquet -> /tmp/minio_downloads/customers_143600462546.parquet
[2026-02-10T20:46:53.134+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143600602074.parquet -> /tmp/minio_downloads/customers_143600602074.parquet
[2026-02-10T20:46:53.160+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143600771751.parquet -> /tmp/minio_downloads/customers_143600771751.parquet
[2026-02-10T20:46:53.189+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143600908509.parquet -> /tmp/minio_downloads/customers_143600908509.parquet
[2026-02-10T20:46:53.217+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143601055323.parquet -> /tmp/minio_downloads/customers_143601055323.parquet
[2026-02-10T20:46:53.250+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143601187796.parquet -> /tmp/minio_downloads/customers_143601187796.parquet
[2026-02-10T20:46:53.282+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143601346724.parquet -> /tmp/minio_downloads/customers_143601346724.parquet
[2026-02-10T20:46:53.320+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143604973951.parquet -> /tmp/minio_downloads/customers_143604973951.parquet
