[2026-02-10T20:44:30.125+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-10T20:44:30.152+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.load_snowflake scheduled__2026-02-10T20:39:00+00:00 [queued]>
[2026-02-10T20:44:30.160+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.load_snowflake scheduled__2026-02-10T20:39:00+00:00 [queued]>
[2026-02-10T20:44:30.161+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-10T20:44:30.173+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2026-02-10 20:39:00+00:00
[2026-02-10T20:44:30.182+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_banking', 'load_snowflake', 'scheduled__2026-02-10T20:39:00+00:00', '--job-id', '34', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmpaha0rffl']
[2026-02-10T20:44:30.186+0000] {standard_task_runner.py:91} INFO - Job 34: Subtask load_snowflake
[2026-02-10T20:44:30.186+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=35249) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-10T20:44:30.187+0000] {standard_task_runner.py:64} INFO - Started process 35269 to run task
[2026-02-10T20:44:30.268+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_banking.load_snowflake scheduled__2026-02-10T20:39:00+00:00 [running]> on host f0a140ed2a8b
[2026-02-10T20:44:30.359+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_banking' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2026-02-10T20:39:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-10T20:39:00+00:00'
[2026-02-10T20:44:30.361+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-10T20:44:30.390+0000] {connection.py:611} INFO - Snowflake Connector for Python Version: 4.2.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2026-02-10T20:44:30.392+0000] {connection.py:1695} INFO - Connecting to GLOBAL Snowflake domain
